Experiment,Time,IFN,IFN_env,STAT,STATP,IRF7
1,0.25,-0.170016009,-,1.852944097,-0.106438077,-0.165135747
1,0.5,-0.118203281,-,1.769629202,0.592404726,0.077195607
1,1,0.05301579,-,1.784783211,0.063171663,0.195450439
1,1.5,-0.053338157,-,1.80514045,0.097966388,0.069267389
1,2,-0.037607163,-,1.802385877,0.128595879,-0.107635965
1,4,4.178351246,-,2.066529797,0.619544268,0.192838148
1,6,5.026230784,-,3.17883724,5.459531528,2.479928434
1,8,4.525593193,-,4.304968072,7.513498578,3.898879758
1,12,4.936623104,-,4.784619712,8.067509733,4.871285595
1,18,3.489196799,-,5.01207571,8.478829498,5.104384701
